abbreviation,name,capital,latitude,longitude
AL,Alabama,Montgomery,32.361538,-86.279118
AK,Alaska,Juneau,58.301935,-134.419740
AZ,Arizona,Phoenix,33.448457,-112.073844
AR,Arkansas,Little Rock,34.736009,-92.331122
CA,California,Sacramento,38.555605,-121.468926
CO,Colorado,Denver,39.739167,-104.984167
CT,Connecticut,Hartford,41.767000,-72.677000
DE,Delaware,Dover,39.161921,-75.526755
FL,Florida,Tallahassee,30.451800,-84.272770
GA,Georgia,Atlanta,33.760000,-84.390000
MD,Maryland,Annapolis,38.972945,-76.501157
MA,Massachusetts,Boston,42.235200,-71.027500
MI,Michigan,Lansing,42.733500,-84.546700
MN,Minnesota,Saint Paul,44.950000,-93.094000
MS,Mississippi,Jackson,32.320000,-90.207000
MO,Missouri,Jefferson City,38.572954,-92.189283
MT,Montana,Helana,46.595805,-112.027031
NE,Nebraska,Lincoln,40.809868,-96.675345
NV,Nevada,Carson City,39.160949,-119.753877
NH,New Hampshire,Concord,43.220093,-71.549127
NJ,New Jersey,Trenton,40.221741,-74.756138
NM,New Mexico,Santa Fe,35.667231,-105.964575
NY,New York,Albany,42.659829,-73.781339
